	Log2_Fold_Change	Mean_Expression	EnsemblID	GeneSymbol	Description
28	1.1877026605439829	5.4317545207449385	ENSG00000146674	IGFBP3	insulin like growth factor binding protein 3
29	-1.015364567626019	9.079419461756862	ENSG00000161057	PSMC2	proteasome 26S subunit, ATPase 2
30	1.0567060475486765	7.735720658365453	ENSG00000105974	CAV1	caveolin 1
31	-1.8613602979332933	6.379566789283676	ENSG00000231721	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript
32	-3.542151137358635	6.729055676172293	ENSG00000221866	PLXNA4	plexin A4
33	1.447914406135153	9.906004197302227	ENSG00000104332	SFRP1	secreted frizzled related protein 1
34	-1.7582360931709191	6.66133688603756	ENSG00000156466	GDF6	growth differentiation factor 6
35	2.005759388602128	5.853329257983832	ENSG00000104419	NDRG1	N-myc downstream regulated 1
36	1.2846516020922163	5.280762261370212	ENSG00000106772	PRUNE2	prune homolog 2 with BCH domain
37	1.2339297654259471	6.857438040008296	ENSG00000095383	TBC1D2	TBC1 domain family member 2
38	1.3379597436595372	5.709577325860066	ENSG00000185585	OLFML2A	olfactomedin like 2A
39	1.5375872028789743	6.674694924091822	ENSG00000170525	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
40	1.3562255148193223	7.528700687656954	ENSG00000225830	ERCC6	ERCC excision repair 6, chromatin remodeling factor
41	1.0957920141485866	7.625353062303549	ENSG00000198682	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
42	1.1548544927433024	6.657270832740688	ENSG00000148700	ADD3	adducin 3
43	1.124085141198453	5.465199242713927	ENSG00000099204	ABLIM1	actin binding LIM protein 1
44	1.6652665273012257	5.902524309465897	ENSG00000176171	BNIP3	BCL2 interacting protein 3
45	1.0492294425570048	8.74284487737581	ENSG00000117984	CTSD	cathepsin D
46	1.2808017084663144	5.664629641757431	ENSG00000180660	MAB21L1	mab-21 like 1
47	-1.3978444506962011	8.549438346457396	ENSG00000187498	COL4A1	collagen type IV alpha 1 chain
48	-1.1720535660673868	9.554616724763132	ENSG00000134871	COL4A2	collagen type IV alpha 2 chain
49	1.3712351979493371	10.687974892819025	ENSG00000185567	AHNAK2	AHNAK nucleoprotein 2
50	-1.088812296968669	6.657679330625275	ENSG00000137809	ITGA11	integrin subunit alpha 11
51	1.199271234181877	8.226053464087219	ENSG00000137831	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats
52	1.0371812650605392	6.604039090507695	ENSG00000129038	LOXL1	lysyl oxidase like 1
53	3.0077131344427377	5.401834940215924	ENSG00000166825	ANPEP	alanyl aminopeptidase, membrane
54	1.0357438754910335	8.158416596709218	ENSG00000197879	MYO1C	myosin IC
55	1.5801945444317669	8.533901644188076	ENSG00000196535	MYO18A	myosin XVIIIA
56	1.016955656866613	5.828044977789517	ENSG00000266074	BAHCC1	BAH domain and coiled-coil containing 1
57	-2.8252592085242743	5.076764955917036	ENSG00000197632	SERPINB2	serpin family B member 2
58	-1.4285076488668986	5.022963048444042	ENSG00000124225	PMEPA1	prostate transmembrane protein, androgen induced 1
59	1.827760562596084	5.419269199624031	ENSG00000130702	LAMA5	laminin subunit alpha 5
60	1.6447065133564631	7.512512459557264	ENSG00000100234	TIMP3	TIMP metallopeptidase inhibitor 3
61	-1.6024716000445205	6.776660138730692	ENSG00000229807	XIST	X inactive specific transcript
62	-3.043270391193436	5.492127826009506	ENSG00000211459	MT-RNR1	s-rRNA
63	-2.886988705645474	5.861465081620896	ENSG00000210082	MT-RNR2	l-rRNA
64	1.1097333976461607	7.109437015417727	ENSG00000198899	MT-ATP6	ATP synthase F0 subunit 6
65	1.0832305411449328	7.598371374115436	ENSG00000198938	MT-CO3	cytochrome c oxidase subunit III
66	1.02492176214124	7.661182283791703	ENSG00000198886	MT-ND4	NADH dehydrogenase subunit 4
67	1.1527080225864106	7.103306330471318	ENSG00000198727	MT-CYB	cytochrome b
