"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase I","2.94%","2","67","26","19512","8.44e-2","1.00e+0","22.40","1.00e+0","9.98e-1","3.58e-3"
"GOTERM_MF_DIRECT","protein kinase binding","7.35%","5","66","491","19272","8.39e-2","1.00e+0","2.97","1.00e+0","1.00e+0","2.64e-2"
"GOTERM_MF_DIRECT","receptor ligand activity","4.41%","3","66","142","19272","8.30e-2","1.00e+0","6.17","1.00e+0","1.00e+0","1.28e-2"
"INTERPRO","TIMP-like_OB-fold","2.94%","2","67","27","20827","8.22e-2","1.00e+0","23.03","1.00e+0","1.00e+0","3.40e-3"
"UP_SEQ_FEATURE","DOMAIN:Calponin-homology (CH) 2","2.94%","2","66","27","20669","8.16e-2","1.00e+0","23.20","1.00e+0","1.00e+0","3.35e-3"
"UP_SEQ_FEATURE","DOMAIN:Calponin-homology (CH) 1","2.94%","2","66","27","20669","8.16e-2","1.00e+0","23.20","1.00e+0","1.00e+0","3.35e-3"
"GOTERM_BP_DIRECT","respiratory electron transport chain","2.94%","2","67","25","19512","8.13e-2","1.00e+0","23.30","1.00e+0","9.98e-1","3.31e-3"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","7.35%","5","66","520","20808","7.94e-2","6.75e-1","3.03","1.00e+0","6.43e-1","2.45e-2"
"INTERPRO","Netrin_domain","2.94%","2","67","26","20827","7.93e-2","1.00e+0","23.91","1.00e+0","1.00e+0","3.15e-3"
"UP_SEQ_FEATURE","REPEAT:Spectrin 1","2.94%","2","66","26","20669","7.87e-2","1.00e+0","24.09","1.00e+0","1.00e+0","3.11e-3"
"UP_SEQ_FEATURE","REPEAT:Spectrin 2","2.94%","2","66","26","20669","7.87e-2","1.00e+0","24.09","1.00e+0","1.00e+0","3.11e-3"
"UP_SEQ_FEATURE","DOMAIN:NTR","2.94%","2","66","26","20669","7.87e-2","1.00e+0","24.09","1.00e+0","1.00e+0","3.11e-3"
"GOTERM_BP_DIRECT","uterus development","2.94%","2","67","24","19512","7.81e-2","1.00e+0","24.27","1.00e+0","9.98e-1","3.05e-3"
"INTERPRO","Growth_fac_rcpt_cys_sf","4.41%","3","67","145","20827","7.74e-2","1.00e+0","6.43","1.00e+0","1.00e+0","1.14e-2"
"GOTERM_MF_DIRECT","small GTPase binding","5.88%","4","66","294","19272","7.70e-2","1.00e+0","3.97","1.00e+0","1.00e+0","1.83e-2"
"GOTERM_BP_DIRECT","regulation of growth","2.94%","2","67","23","19512","7.50e-2","1.00e+0","25.32","1.00e+0","9.98e-1","2.80e-3"
"UP_KW_MOLECULAR_FUNCTION","Growth factor binding","2.94%","2","47","20","12059","7.36e-2","9.57e-1","25.66","9.49e-1","9.57e-1","2.70e-3"
"INTERPRO","Spectrin_repeat","2.94%","2","67","24","20827","7.34e-2","1.00e+0","25.90","1.00e+0","1.00e+0","2.69e-3"
"SMART","IB","2.94%","2","46","18","10704","7.31e-2","1.00e+0","25.86","9.96e-1","1.00e+0","2.65e-3"
"INTERPRO","Actinin_actin-bd_CS","2.94%","2","67","23","20827","7.04e-2","1.00e+0","27.03","1.00e+0","1.00e+0","2.47e-3"
"UP_SEQ_FEATURE","REGION:Triple-helical region","2.94%","2","66","23","20669","6.99e-2","1.00e+0","27.23","1.00e+0","1.00e+0","2.43e-3"
"SMART","TY","2.94%","2","46","17","10704","6.92e-2","1.00e+0","27.38","9.95e-1","1.00e+0","2.36e-3"
"UP_KW_PTM","Disulfide bond","32.35%","22","56","4060","14452","6.75e-2","7.18e-1","1.40","7.16e-1","7.18e-1","4.60e-2"
"KEGG_PATHWAY","Human papillomavirus infection","7.35%","5","45","333","9496","6.73e-2","7.30e-1","3.17","1.00e+0","7.14e-1","1.99e-2"
"UP_SEQ_FEATURE","REPEAT:Spectrin 3","2.94%","2","66","22","20669","6.70e-2","1.00e+0","28.47","1.00e+0","1.00e+0","2.23e-3"
"UP_SEQ_FEATURE","REPEAT:Spectrin 4","2.94%","2","66","22","20669","6.70e-2","1.00e+0","28.47","1.00e+0","1.00e+0","2.23e-3"
"GOTERM_BP_DIRECT","negative regulation of cell population proliferation","7.35%","5","67","450","19512","6.59e-2","1.00e+0","3.24","1.00e+0","9.98e-1","1.91e-2"
"GOTERM_BP_DIRECT","regulation of cell migration","4.41%","3","67","123","19512","6.51e-2","1.00e+0","7.10","1.00e+0","9.98e-1","8.73e-3"
"GOTERM_BP_DIRECT","cell population proliferation","5.88%","4","67","267","19512","6.18e-2","1.00e+0","4.36","1.00e+0","9.98e-1","1.34e-2"
"INTERPRO","IGFBP-like","2.94%","2","67","20","20827","6.15e-2","1.00e+0","31.09","1.00e+0","1.00e+0","1.87e-3"
"UP_SEQ_FEATURE","DOMAIN:IGFBP N-terminal","2.94%","2","66","20","20669","6.11e-2","1.00e+0","31.32","1.00e+0","1.00e+0","1.84e-3"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase III","2.94%","2","67","18","19512","5.92e-2","1.00e+0","32.36","1.00e+0","9.98e-1","1.72e-3"
"GOTERM_BP_DIRECT","type B pancreatic cell proliferation","2.94%","2","67","18","19512","5.92e-2","1.00e+0","32.36","1.00e+0","9.98e-1","1.72e-3"
"GOTERM_BP_DIRECT","muscle organ development","4.41%","3","67","115","19512","5.79e-2","1.00e+0","7.60","1.00e+0","9.98e-1","7.27e-3"
"COG_ONTOLOGY","Cell division and chromosome partitioning","4.41%","3","8","117","2025","5.74e-2","3.45e-1","6.49","3.39e-1","3.45e-1","8.50e-3"
"GOTERM_BP_DIRECT","integrin-mediated signaling pathway","4.41%","3","67","114","19512","5.70e-2","1.00e+0","7.66","1.00e+0","9.98e-1","7.09e-3"
"GOTERM_CC_DIRECT","secretory granule lumen","4.41%","3","66","123","20808","5.66e-2","5.07e-1","7.69","1.00e+0","4.83e-1","7.03e-3"
"GOTERM_BP_DIRECT","negative regulation of androgen receptor signaling pathway","2.94%","2","67","17","19512","5.60e-2","1.00e+0","34.26","1.00e+0","9.98e-1","1.53e-3"
"GOTERM_MF_DIRECT","signaling receptor binding","7.35%","5","66","425","19272","5.52e-2","1.00e+0","3.44","1.00e+0","1.00e+0","1.52e-2"
"KEGG_PATHWAY","Huntington disease","7.35%","5","45","311","9496","5.50e-2","6.46e-1","3.39","1.00e+0","6.32e-1","1.53e-2"
"GOTERM_MF_DIRECT","cytochrome-c oxidase activity","2.94%","2","66","16","19272","5.26e-2","1.00e+0","36.50","1.00e+0","1.00e+0","1.34e-3"
"INTERPRO","Thyroglobulin_1","2.94%","2","67","17","20827","5.25e-2","1.00e+0","36.57","1.00e+0","1.00e+0","1.34e-3"
"INTERPRO","Thyroglobulin_1_sf","2.94%","2","67","17","20827","5.25e-2","1.00e+0","36.57","1.00e+0","1.00e+0","1.34e-3"
"GOTERM_CC_DIRECT","postsynaptic membrane","5.88%","4","66","264","20808","4.96e-2","4.69e-1","4.78","1.00e+0","4.47e-1","9.87e-3"
"GOTERM_MF_DIRECT","insulin-like growth factor binding","2.94%","2","66","14","19272","4.62e-2","1.00e+0","41.71","1.00e+0","1.00e+0","1.02e-3"
"UP_SEQ_FEATURE","REPEAT:Spectrin 6","2.94%","2","66","15","20669","4.62e-2","1.00e+0","41.76","1.00e+0","1.00e+0","1.03e-3"
"UP_SEQ_FEATURE","DOMAIN:Thyroglobulin type-1","2.94%","2","66","15","20669","4.62e-2","1.00e+0","41.76","1.00e+0","1.00e+0","1.03e-3"
"UP_SEQ_FEATURE","REPEAT:Spectrin 5","2.94%","2","66","15","20669","4.62e-2","1.00e+0","41.76","1.00e+0","1.00e+0","1.03e-3"
"UP_KW_MOLECULAR_FUNCTION","Multifunctional enzyme","4.41%","3","47","90","12059","4.61e-2","8.99e-1","8.55","8.41e-1","8.99e-1","5.14e-3"
"UP_SEQ_FEATURE","REPEAT:Spectrin 9","2.94%","2","66","14","20669","4.32e-2","1.00e+0","44.74","1.00e+0","1.00e+0","8.92e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 7","2.94%","2","66","14","20669","4.32e-2","1.00e+0","44.74","1.00e+0","1.00e+0","8.92e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 8","2.94%","2","66","14","20669","4.32e-2","1.00e+0","44.74","1.00e+0","1.00e+0","8.92e-4"
"GOTERM_BP_DIRECT","positive regulation of insulin-like growth factor receptor signaling pathway","2.94%","2","67","13","19512","4.31e-2","1.00e+0","44.80","1.00e+0","9.98e-1","8.84e-4"
"GOTERM_MF_DIRECT","insulin-like growth factor I binding","2.94%","2","66","13","19272","4.30e-2","1.00e+0","44.92","1.00e+0","1.00e+0","8.79e-4"
"GOTERM_CC_DIRECT","mitochondrial membrane","5.88%","4","66","247","20808","4.21e-2","4.21e-1","5.11","9.99e-1","4.02e-1","7.86e-3"
"GOTERM_CC_DIRECT","collagen trimer","4.41%","3","66","104","20808","4.20e-2","4.21e-1","9.09","9.99e-1","4.02e-1","4.42e-3"
"UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","42.65%","29","66","6644","20669","4.17e-2","1.00e+0","1.37","1.00e+0","1.00e+0","2.94e-2"
"UP_SEQ_FEATURE","REPEAT:Spectrin 11","2.94%","2","66","13","20669","4.01e-2","1.00e+0","48.18","1.00e+0","1.00e+0","7.66e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 13","2.94%","2","66","13","20669","4.01e-2","1.00e+0","48.18","1.00e+0","1.00e+0","7.66e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 12","2.94%","2","66","13","20669","4.01e-2","1.00e+0","48.18","1.00e+0","1.00e+0","7.66e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 10","2.94%","2","66","13","20669","4.01e-2","1.00e+0","48.18","1.00e+0","1.00e+0","7.66e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 14","2.94%","2","66","13","20669","4.01e-2","1.00e+0","48.18","1.00e+0","1.00e+0","7.66e-4"
"GOTERM_BP_DIRECT","collagen-activated tyrosine kinase receptor signaling pathway","2.94%","2","67","12","19512","3.99e-2","1.00e+0","48.54","1.00e+0","9.98e-1","7.50e-4"
"GOTERM_BP_DIRECT","negative regulation of smooth muscle cell migration","2.94%","2","67","12","19512","3.99e-2","1.00e+0","48.54","1.00e+0","9.98e-1","7.50e-4"
"GOTERM_MF_DIRECT","peptidase activator activity","2.94%","2","66","12","19272","3.97e-2","1.00e+0","48.67","1.00e+0","1.00e+0","7.46e-4"
"INTERPRO","Rho_GTPase_activation_prot","4.41%","3","67","97","20827","3.80e-2","1.00e+0","9.61","1.00e+0","1.00e+0","3.78e-3"
"UP_SEQ_FEATURE","REPEAT:Spectrin 17","2.94%","2","66","12","20669","3.71e-2","1.00e+0","52.19","1.00e+0","1.00e+0","6.49e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 15","2.94%","2","66","12","20669","3.71e-2","1.00e+0","52.19","1.00e+0","1.00e+0","6.49e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 16","2.94%","2","66","12","20669","3.71e-2","1.00e+0","52.19","1.00e+0","1.00e+0","6.49e-4"
"KEGG_PATHWAY","Parkinson disease","7.35%","5","45","271","9496","3.61e-2","4.62e-1","3.89","9.94e-1","4.52e-1","8.77e-3"
"GOTERM_BP_DIRECT","system development","4.41%","3","67","88","19512","3.58e-2","1.00e+0","9.93","1.00e+0","9.98e-1","3.45e-3"
"INTERPRO","Insulin_GF-bd_Cys-rich_CS","2.94%","2","67","11","20827","3.43e-2","1.00e+0","56.52","1.00e+0","1.00e+0","5.50e-4"
"UP_SEQ_FEATURE","MOTIF:PPxY motif 1","2.94%","2","66","11","20669","3.41e-2","1.00e+0","56.94","1.00e+0","1.00e+0","5.42e-4"
"UP_SEQ_FEATURE","MOTIF:PPxY motif 2","2.94%","2","66","11","20669","3.41e-2","1.00e+0","56.94","1.00e+0","1.00e+0","5.42e-4"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","39.71%","27","66","5937","20669","3.32e-2","1.00e+0","1.42","1.00e+0","1.00e+0","2.24e-2"
"GOTERM_BP_DIRECT","regulation of cell growth","4.41%","3","67","81","19512","3.08e-2","1.00e+0","10.79","1.00e+0","9.98e-1","2.73e-3"
"GOTERM_CC_DIRECT","endoplasmic reticulum-Golgi intermediate compartment","4.41%","3","66","86","20808","2.97e-2","3.36e-1","11.00","9.94e-1","3.21e-1","2.59e-3"
"UP_KW_DISEASE","Tumor suppressor","7.35%","5","32","188","4888","2.96e-2","5.33e-1","4.06","6.61e-1","5.33e-1","6.90e-3"
"GOTERM_BP_DIRECT","negative regulation of signal transduction","4.41%","3","67","79","19512","2.94e-2","1.00e+0","11.06","1.00e+0","9.98e-1","2.54e-3"
"UP_KW_CELLULAR_COMPONENT","Cytoplasm","42.65%","29","63","5979","18195","2.89e-2","2.09e-1","1.40","5.72e-1","2.02e-1","1.99e-2"
"GOTERM_MF_DIRECT","molecular adaptor activity","5.88%","4","66","194","19272","2.78e-2","8.78e-1","6.02","9.98e-1","8.78e-1","4.41e-3"
"GOTERM_BP_DIRECT","regulation of insulin-like growth factor receptor signaling pathway","2.94%","2","67","8","19512","2.67e-2","1.00e+0","72.81","1.00e+0","9.98e-1","3.21e-4"
"GOTERM_MF_DIRECT","insulin-like growth factor II binding","2.94%","2","66","8","19272","2.67e-2","8.78e-1","73.00","9.97e-1","8.78e-1","3.19e-4"
"KEGG_PATHWAY","Oxidative phosphorylation","5.88%","4","45","138","9496","2.58e-2","3.63e-1","6.12","9.75e-1","3.56e-1","4.01e-3"
"KEGG_PATHWAY","PI3K-Akt signaling pathway","8.82%","6","45","362","9496","2.51e-2","3.63e-1","3.50","9.72e-1","3.56e-1","6.82e-3"
"SMART","C4","2.94%","2","46","6","10704","2.50e-2","1.00e+0","77.57","8.42e-1","1.00e+0","2.68e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 18","2.94%","2","66","8","20669","2.49e-2","1.00e+0","78.29","1.00e+0","1.00e+0","2.78e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 19","2.94%","2","66","8","20669","2.49e-2","1.00e+0","78.29","1.00e+0","1.00e+0","2.78e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 20","2.94%","2","66","8","20669","2.49e-2","1.00e+0","78.29","1.00e+0","1.00e+0","2.78e-4"
"GOTERM_CC_DIRECT","B-WICH complex","2.94%","2","66","8","20808","2.47e-2","3.00e-1","78.82","9.86e-1","2.86e-1","2.74e-4"
"KEGG_PATHWAY","Cytoskeleton in muscle cells","7.35%","5","45","233","9496","2.23e-2","3.63e-1","4.53","9.58e-1","3.56e-1","4.68e-3"
"GOTERM_CC_DIRECT","cell cortex","5.88%","4","66","188","20808","2.11e-2","2.75e-1","6.71","9.73e-1","2.62e-1","3.01e-3"
"GOTERM_BP_DIRECT","mammary gland involution","2.94%","2","67","6","19512","2.01e-2","8.57e-1","97.07","1.00e+0","8.54e-1","1.73e-4"
"INTERPRO","IGFBP_1-6_chordata","2.94%","2","67","6","20827","1.89e-2","1.00e+0","103.62","9.99e-1","1.00e+0","1.52e-4"
"INTERPRO","Collagen_IV_NC_sf","2.94%","2","67","6","20827","1.89e-2","1.00e+0","103.62","9.99e-1","1.00e+0","1.52e-4"
"INTERPRO","Collagen_IV_NC","2.94%","2","67","6","20827","1.89e-2","1.00e+0","103.62","9.99e-1","1.00e+0","1.52e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 21","2.94%","2","66","6","20669","1.87e-2","1.00e+0","104.39","1.00e+0","1.00e+0","1.49e-4"
"UP_SEQ_FEATURE","REPEAT:Spectrin 22","2.94%","2","66","6","20669","1.87e-2","1.00e+0","104.39","1.00e+0","1.00e+0","1.49e-4"
"UP_SEQ_FEATURE","DOMAIN:Collagen IV NC1","2.94%","2","66","6","20669","1.87e-2","1.00e+0","104.39","1.00e+0","1.00e+0","1.49e-4"
"GOTERM_CC_DIRECT","collagen type IV trimer","2.94%","2","66","6","20808","1.86e-2","2.63e-1","105.09","9.59e-1","2.51e-1","1.47e-4"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","7.35%","5","66","322","20808","1.82e-2","2.63e-1","4.90","9.56e-1","2.51e-1","3.56e-3"
"UP_KW_DOMAIN","Coiled coil","23.53%","16","47","2756","14656","1.79e-2","1.17e-1","1.81","2.10e-1","1.17e-1","9.52e-3"
"GOTERM_MF_DIRECT","integrin binding","5.88%","4","66","161","19272","1.71e-2","7.57e-1","7.25","9.78e-1","7.57e-1","2.26e-3"
"GOTERM_MF_DIRECT","GTPase activator activity","7.35%","5","66","292","19272","1.70e-2","7.57e-1","5.00","9.77e-1","7.57e-1","3.24e-3"
"UP_SEQ_FEATURE","REGION:Actin-binding","4.41%","3","66","63","20669","1.68e-2","1.00e+0","14.91","1.00e+0","1.00e+0","1.08e-3"
"GOTERM_BP_DIRECT","regulation of entry of bacterium into host cell","2.94%","2","67","5","19512","1.68e-2","7.55e-1","116.49","1.00e+0","7.52e-1","1.15e-4"
"GOTERM_BP_DIRECT","electron transport coupled proton transport","2.94%","2","67","5","19512","1.68e-2","7.55e-1","116.49","1.00e+0","7.52e-1","1.15e-4"
"GOTERM_BP_DIRECT","response to hormone","4.41%","3","67","58","19512","1.65e-2","7.55e-1","15.06","1.00e+0","7.52e-1","1.04e-3"
"GOTERM_BP_DIRECT","negative regulation of canonical Wnt signaling pathway","5.88%","4","67","156","19512","1.59e-2","7.55e-1","7.47","1.00e+0","7.52e-1","2.04e-3"
"GOTERM_BP_DIRECT","response to calcium ion","4.41%","3","67","55","19512","1.49e-2","7.55e-1","15.88","1.00e+0","7.52e-1","8.94e-4"
"KEGG_PATHWAY","Diabetic cardiomyopathy","7.35%","5","45","205","9496","1.46e-2","2.94e-1","5.15","8.74e-1","2.88e-1","2.70e-3"
"GOTERM_BP_DIRECT","response to oxidative stress","5.88%","4","67","148","19512","1.38e-2","7.55e-1","7.87","1.00e+0","7.52e-1","1.68e-3"
"GOTERM_CC_DIRECT","tertiary granule lumen","4.41%","3","66","56","20808","1.33e-2","2.26e-1","16.89","8.97e-1","2.15e-1","7.49e-4"
"GOTERM_CC_DIRECT","insulin-like growth factor ternary complex","2.94%","2","66","4","20808","1.24e-2","2.26e-1","157.64","8.81e-1","2.15e-1","5.92e-5"
"GOTERM_BP_DIRECT","response to xenobiotic stimulus","7.35%","5","67","260","19512","1.16e-2","7.55e-1","5.60","1.00e+0","7.52e-1","1.99e-3"
"KEGG_PATHWAY","AGE-RAGE signaling pathway in diabetic complications","5.88%","4","45","101","9496","1.13e-2","2.65e-1","8.36","7.98e-1","2.59e-1","1.29e-3"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","10.29%","7","67","543","19512","1.00e-2","7.37e-1","3.75","1.00e+0","7.34e-1","2.56e-3"
"UP_KW_CELLULAR_COMPONENT","Basement membrane","4.41%","3","63","44","18195","9.86e-3","9.53e-2","19.69","2.50e-1","9.20e-2","4.73e-4"
"GOTERM_CC_DIRECT","insulin-like growth factor binding protein complex","2.94%","2","66","3","20808","9.34e-3","1.99e-1","210.18","7.97e-1","1.89e-1","2.97e-5"
"GOTERM_CC_DIRECT","cytoplasm","51.47%","35","66","7749","20808","9.31e-3","1.99e-1","1.42","7.96e-1","1.89e-1","6.37e-3"
"KEGG_PATHWAY","Small cell lung cancer","5.88%","4","45","93","9496","9.01e-3","2.54e-1","9.08","7.21e-1","2.49e-1","9.45e-4"
"KEGG_PATHWAY","Prion disease","8.82%","6","45","278","9496","8.86e-3","2.54e-1","4.55","7.15e-1","2.49e-1","1.86e-3"
"OMIM_DISEASE","Hemorrhage, intracerebral, susceptibility to","2.94%","2","26","2","6165","8.09e-3","4.05e-1","237.12","3.34e-1","4.05e-1","1.71e-5"
"GOTERM_CC_DIRECT","ficolin-1-rich granule lumen","5.88%","4","66","127","20808","7.36e-3","1.99e-1","9.93","7.15e-1","1.89e-1","7.12e-4"
"GOTERM_BP_DIRECT","cranial nerve morphogenesis","2.94%","2","67","2","19512","6.75e-3","5.46e-1","291.22","9.96e-1","5.44e-1","1.16e-5"
"UP_SEQ_FEATURE","PROPEP:N-terminal propeptide (7S domain)","2.94%","2","66","2","20669","6.28e-3","1.00e+0","313.17","9.81e-1","1.00e+0","1.00e-5"
"GOTERM_MF_DIRECT","actin filament binding","7.35%","5","66","213","19272","5.80e-3","4.28e-1","6.85","7.24e-1","4.28e-1","8.14e-4"
"GOTERM_BP_DIRECT","positive regulation of apoptotic process","8.82%","6","67","333","19512","5.36e-3","4.82e-1","5.25","9.87e-1","4.80e-1","9.83e-4"
"GOTERM_BP_DIRECT","response to progesterone","4.41%","3","67","31","19512","4.92e-3","4.82e-1","28.18","9.81e-1","4.80e-1","1.62e-4"
"UP_KW_DOMAIN","Signal","35.29%","24","47","4426","14656","3.77e-3","4.90e-2","1.69","4.79e-2","4.90e-2","2.17e-3"
"UP_KW_CELLULAR_COMPONENT","Extracellular matrix","8.82%","6","63","282","18195","2.72e-3","3.94e-2","6.14","7.59e-2","3.80e-2","4.26e-4"
"UP_KW_CELLULAR_COMPONENT","Secreted","25.00%","17","63","2233","18195","2.71e-3","3.94e-2","2.20","7.56e-2","3.80e-2","1.19e-3"
"UP_KW_BIOLOGICAL_PROCESS","Apoptosis","11.76%","8","39","589","11605","2.67e-3","6.68e-2","4.04","1.25e-1","6.68e-2","6.38e-4"
"UP_SEQ_FEATURE","DISULFID:Interchain","7.35%","5","66","180","20669","2.49e-3","7.86e-1","8.70","7.93e-1","7.86e-1","2.76e-4"
"KEGG_PATHWAY","Focal adhesion","8.82%","6","45","203","9496","2.34e-3","1.10e-1","6.24","2.82e-1","1.08e-1","3.60e-4"
"GOTERM_CC_DIRECT","cytosol","44.12%","30","66","5677","20808","1.99e-3","6.75e-2","1.67","2.87e-1","6.43e-2","1.16e-3"
"GOTERM_BP_DIRECT","cellular response to transforming growth factor beta stimulus","5.88%","4","67","70","19512","1.72e-3","1.99e-1","16.64","7.52e-1","1.98e-1","9.82e-5"
"GOTERM_BP_DIRECT","apoptotic process","14.71%","10","67","800","19512","1.43e-3","1.92e-1","3.64","6.85e-1","1.92e-1","3.79e-4"
"GOTERM_BP_DIRECT","cellular response to hypoxia","7.35%","5","67","140","19512","1.30e-3","1.92e-1","10.40","6.50e-1","1.92e-1","1.20e-4"
"KEGG_PATHWAY","Amoebiasis","7.35%","5","45","103","9496","1.27e-3","8.95e-2","10.24","1.64e-1","8.76e-2","1.18e-4"
"UP_KW_BIOLOGICAL_PROCESS","Angiogenesis","7.35%","5","39","145","11605","1.24e-3","6.20e-2","10.26","6.02e-2","6.20e-2","1.16e-4"
"GOTERM_BP_DIRECT","response to hyperoxia","4.41%","3","67","15","19512","1.15e-3","1.92e-1","58.24","6.06e-1","1.92e-1","1.71e-5"
"UP_KW_MOLECULAR_FUNCTION","Actin-binding","10.29%","7","47","300","12059","9.14e-4","3.56e-2","5.99","3.50e-2","3.56e-2","1.47e-4"
"GOTERM_MF_DIRECT","extracellular matrix structural constituent","7.35%","5","66","127","19272","8.93e-4","9.86e-2","11.50","1.79e-1","9.86e-2","7.44e-5"
"UP_SEQ_FEATURE","COMPBIAS:Low complexity","44.12%","30","66","5262","20669","6.09e-4","3.84e-1","1.79","3.19e-1","3.84e-1","3.34e-4"
"GOTERM_MF_DIRECT","actin binding","11.76%","8","66","412","19272","4.64e-4","9.86e-2","5.67","9.75e-2","9.86e-2","7.92e-5"
"GOTERM_BP_DIRECT","angiogenesis","10.29%","7","67","292","19512","4.57e-4","1.23e-1","6.98","3.09e-1","1.23e-1","6.31e-5"
"GOTERM_CC_DIRECT","extracellular region","29.41%","20","66","2693","20808","4.12e-4","1.75e-2","2.34","6.76e-2","1.67e-2","1.71e-4"
"GOTERM_BP_DIRECT","response to hypoxia","8.82%","6","67","181","19512","3.67e-4","1.23e-1","9.65","2.57e-1","1.23e-1","3.66e-5"
"GOTERM_BP_DIRECT","osteoblast differentiation","8.82%","6","67","138","19512","1.04e-4","8.41e-2","12.66","8.07e-2","8.38e-2","7.86e-6"
"UP_KW_DISEASE","Leber hereditary optic neuropathy","5.88%","4","32","13","4888","6.33e-5","2.28e-3","47.00","2.28e-3","2.28e-3","1.04e-6"
