	EnsemblID	GeneSymbol	Description
83	ENSG00000185168	LINC00482	long intergenic non-protein coding RNA 482
84	ENSG00000296588		
85	ENSG00000196437	ZNF569	zinc finger protein 569
86	ENSG00000271888	JARID2-DT	JARID2 divergent transcript
87	ENSG00000287014		
88	ENSG00000224383	PRR29	proline rich 29
89	ENSG00000287870		
90	ENSG00000298909		
91	ENSG00000308776		
92	ENSG00000250506	CDK3	cyclin dependent kinase 3
93	ENSG00000069482	GAL	galanin and GMAP prepropeptide
94	ENSG00000199038	MIR210	microRNA 210
95	ENSG00000251680	CHSY3-AS1	CHSY3 antisense RNA 1
96	ENSG00000305965		
97	ENSG00000260941	LINC00622	long intergenic non-protein coding RNA 622
98	ENSG00000258512	LINC00239	long intergenic non-protein coding RNA 239
99	ENSG00000286443		
100	ENSG00000197614	MFAP5	microfibril associated protein 5
101	ENSG00000233347	ERP29P1	endoplasmic reticulum lumenal protein 29 pseudogene 1
102	ENSG00000304875		
103	ENSG00000273368		
104	ENSG00000261595	PPM1J-DT	PPM1J divergent transcript
105	ENSG00000172742	OR4D9	olfactory receptor family 4 subfamily D member 9
106	ENSG00000197245	FAM110D	family with sequence similarity 110 member D
107	ENSG00000287463		
108	ENSG00000287149		
109	ENSG00000110786	PTPN5	protein tyrosine phosphatase non-receptor type 5
110	ENSG00000286491	LOC105373044	uncharacterized LOC105373044
111	ENSG00000309543		
112	ENSG00000277047	LOC124903233	uncharacterized LOC124903233
113	ENSG00000235055	LOC100133029	sirtuin 5 pseudogene
114	ENSG00000294652		
115	ENSG00000264655	PPIAP54	peptidylprolyl isomerase A pseudogene 54
116	ENSG00000175445	LPL	lipoprotein lipase
117	ENSG00000224272	LOC124905349	uncharacterized LOC124905349
118	ENSG00000109854	HTATIP2	HIV-1 Tat interactive protein 2
119	ENSG00000289136		
120	ENSG00000259129	LINC00648	long intergenic non-protein coding RNA 648
121	ENSG00000250564	LINC02999	long intergenic non-protein coding RNA 2999
122	ENSG00000294706		
123	ENSG00000276007		
124	ENSG00000243414	TICAM2	TIR domain containing adaptor molecule 2
125	ENSG00000302689		
126	ENSG00000268896		
127	ENSG00000258404	LINC02320	long intergenic non-protein coding RNA 2320
128	ENSG00000302166	LOC105375783	uncharacterized LOC105375783
129	ENSG00000305105		
130	ENSG00000293239	LOC105378052	uncharacterized LOC105378052
131	ENSG00000005102	MEOX1	mesenchyme homeobox 1
132	ENSG00000112499	SLC22A2	solute carrier family 22 member 2
133	ENSG00000233482		
134	ENSG00000289516	LOC124903064	uncharacterized LOC124903064
135	ENSG00000252274	LOC124904115	small Cajal body-specific RNA 24
136	ENSG00000271551	LOC115308161	uncharacterized LOC115308161
137	ENSG00000168589	DYNLRB2	dynein light chain roadblock-type 2
138	ENSG00000131668	BARX1	BARX homeobox 1
139	ENSG00000160190	SLC37A1	solute carrier family 37 member 1
140	ENSG00000256193	LINC00507	long intergenic non-protein coding RNA 507
141	ENSG00000259579		
142	ENSG00000283439	SPEM3	SPEM family member 3
143	ENSG00000279908		
144	ENSG00000301828		
145	ENSG00000277475		
146	ENSG00000172000	ZNF556	zinc finger protein 556
147	ENSG00000231256	CFAP97D1	CFAP97 domain containing 1
148	ENSG00000130487	KLHDC7B	kelch domain containing 7B
149	ENSG00000271009		
150	ENSG00000228540		
151	ENSG00000225124	RPL23AP36	ribosomal protein L23a pseudogene 36
152	ENSG00000293918		
153	ENSG00000203288	TDRKH-AS1	TDRKH antisense RNA 1
154	ENSG00000302436		
155	ENSG00000260723		
156	ENSG00000259584	LOC105370787	uncharacterized LOC105370787
157	ENSG00000218265	RPS4XP7	ribosomal protein S4X pseudogene 7
158	ENSG00000262481	TMEM256-PLSCR3	TMEM256-PLSCR3 readthrough (NMD candidate)
159	ENSG00000180938	ZNF572	zinc finger protein 572
160	ENSG00000284638	SMIM44	small integral membrane protein 44
161	ENSG00000197921	HES5	hes family bHLH transcription factor 5
162	ENSG00000198723	SAXO5	stabilizer of axonemal microtubules 5
163	ENSG00000286331		
164	ENSG00000254503	HMGB3P29	high mobility group box 3 pseudogene 29
165	ENSG00000184515	BEX5	brain expressed X-linked 5
166	ENSG00000302343		
167	ENSG00000226094	RPL7P3	ribosomal protein L7 pseudogene 3
168	ENSG00000307196		
169	ENSG00000239389	PCDHA13	protocadherin alpha 13
170	ENSG00000298990		
171	ENSG00000297401		
172	ENSG00000277548		
173	ENSG00000227758	HCG9P5	HLA complex group 9 pseudogene 5
174	ENSG00000212242	RNA5SP219	RNA, 5S ribosomal pseudogene 219
175	ENSG00000263279	LOC105371079	uncharacterized LOC105371079
176	ENSG00000237921		
177	ENSG00000306097		
178	ENSG00000271092	TLCD4-RWDD3	TLCD4-RWDD3 readthrough
179	ENSG00000130427	EPO	erythropoietin
180	ENSG00000294586		
181	ENSG00000288990		
182	ENSG00000289101	LOC105369998	uncharacterized LOC105369998
183	ENSG00000265190	ANXA8	annexin A8
184	ENSG00000197520	FAM177B	family with sequence similarity 177 member B
185	ENSG00000277400		MAFF interacting protein
186	ENSG00000290025		
187	ENSG00000303888		
188	ENSG00000276717	PRSS47P	serine protease 47, pseudogene
189	ENSG00000223452	HMGN2P18	high mobility group nucleosomal binding domain 2 pseudogene 18
190	ENSG00000309937		
191	ENSG00000270882	H4C14	H4 clustered histone 14
192	ENSG00000264113	RN7SL784P	RNA, 7SL, cytoplasmic 784, pseudogene
193	ENSG00000307373		
194	ENSG00000229256	ST13P13	ST13, Hsp70 interacting protein pseudogene 13
195	ENSG00000254288	LOC105375903	uncharacterized LOC105375903
196	ENSG00000183114	FAM43B	family with sequence similarity 43 member B
197	ENSG00000300625		
198	ENSG00000163749	CCDC158	coiled-coil domain containing 158
199	ENSG00000226409	LOC102723341	uncharacterized LOC102723341
200	ENSG00000235278	ZNF652P1	zinc finger protein 652 pseudogene 1
201	ENSG00000231208	ZBTB46-AS1	ZBTB46 antisense RNA 1
202	ENSG00000278862		
203	ENSG00000226281	LOC105374901	uncharacterized LOC105374901
204	ENSG00000267909	CCDC177	coiled-coil domain containing 177
205	ENSG00000307367		
206	ENSG00000307279		
207	ENSG00000226581	LINC02848	long intergenic non-protein coding RNA 2848
208	ENSG00000285964	LOC107986821	uncharacterized LOC107986821
209	ENSG00000307060		
210	ENSG00000307213	LOC124902482	uncharacterized LOC124902482
211	ENSG00000230592	RPSAP8	ribosomal protein SA pseudogene 8
212	ENSG00000273901		
213	ENSG00000250254	PTTG2	pituitary tumor-transforming 2
214	ENSG00000244384	RN7SL359P	RNA, 7SL, cytoplasmic 359, pseudogene
215	ENSG00000230756	RHOQP3	ras homolog family member Q pseudogene 3
216	ENSG00000113249	HAVCR1	hepatitis A virus cellular receptor 1
217	ENSG00000269800	PLEKHA3P1	pleckstrin homology domain containing A3 pseudogene 1
218	ENSG00000203952	CCDC160	coiled-coil domain containing 160
219	ENSG00000183929	DUSP5P1	dual specificity phosphatase 5 pseudogene 1
220	ENSG00000249412		
221	ENSG00000217495		
222	ENSG00000243777	RPS6P17	ribosomal protein S6 pseudogene 17
223	ENSG00000234286		
224	ENSG00000137673	MMP7	matrix metallopeptidase 7
225	ENSG00000296173		
226	ENSG00000301936		
227	ENSG00000256237		
228	ENSG00000228487		
229	ENSG00000212769	HMGN2P8	high mobility group nucleosomal binding domain 2 pseudogene 8
230	ENSG00000300859		
231	ENSG00000137434	C6orf52	chromosome 6 open reading frame 52
232	ENSG00000221887	HMSD	histocompatibility minor serpin domain containing
233	ENSG00000274354		
234	ENSG00000204148	LINC00474	long intergenic non-protein coding RNA 474
235	ENSG00000241188	RN7SL165P	RNA, 7SL, cytoplasmic 165, pseudogene
236	ENSG00000303916		
237	ENSG00000271098	IMMP1LP3	inner mitochondrial membrane peptidase subunit 1 pseudogene 3
238	ENSG00000185306	C12orf56	chromosome 12 open reading frame 56
239	ENSG00000286809		
240	ENSG00000154914	USP43	ubiquitin specific peptidase 43
241	ENSG00000163121	NEURL3	neuralized E3 ubiquitin protein ligase 3
242	ENSG00000304304		
243	ENSG00000219027	RPS3AP2	RPS3A pseudogene 2
244	ENSG00000286369	LOC105369363	uncharacterized LOC105369363
245	ENSG00000295645		
246	ENSG00000236015	TMX1P1	TMX1 pseudogene 1
247	ENSG00000173862	FLJ20712	uncharacterized FLJ20712
248	ENSG00000280305		
249	ENSG00000260360		
250	ENSG00000229116		
251	ENSG00000283312		
252	ENSG00000280059		
253	ENSG00000181785	OR5AS1	olfactory receptor family 5 subfamily AS member 1
254	ENSG00000303910		
255	ENSG00000263438	LINC01919	long intergenic non-protein coding RNA 1919
256	ENSG00000287677		
257	ENSG00000278869		
258	ENSG00000179774	ATOH7	atonal bHLH transcription factor 7
259	ENSG00000177406	NINJ2-AS1	NINJ2 antisense RNA 1
260	ENSG00000272182		
261	ENSG00000129450	SIGLEC9	sialic acid binding Ig like lectin 9
262	ENSG00000294943		
263	ENSG00000240567	LINC02067	long intergenic non-protein coding RNA 2067
264	ENSG00000163497	FEV	FEV transcription factor, ETS family member
265	ENSG00000302099		
266	ENSG00000306315		
267	ENSG00000267052	CTB-30L5.1	uncharacterized CTB-30L5.1
268	ENSG00000289141		
269	ENSG00000294753		
270	ENSG00000272383		
271	ENSG00000099985	OSM	oncostatin M
272	ENSG00000289356		
273	ENSG00000306624		
274	ENSG00000233635		
275	ENSG00000303329		
276	ENSG00000308521		
277	ENSG00000064692	SNCAIP	synuclein alpha interacting protein
278	ENSG00000294557		
279	ENSG00000255036	SUGT1P4-STRA6LP-CCDC180	SUGT1P4-STRA6LP-CCDC180 readthrough
280	ENSG00000309645		
281	ENSG00000293096		
282	ENSG00000308886		
283	ENSG00000174343	CHRNA9	cholinergic receptor nicotinic alpha 9 subunit
284	ENSG00000117148	ACTL8	actin like 8
285	ENSG00000286403		
286	ENSG00000238178	MAGEB17-AS1	MAGEB17 antisense RNA 1
287	ENSG00000303589		
288	ENSG00000177803	YWHAQP4	YWHAQ pseudogene 4
289	ENSG00000176907	TCIM	transcriptional and immune response regulator
290	ENSG00000225180	PVALEF	parvalbumin like EF-hand containing
291	ENSG00000282950		
292	ENSG00000303375		
293	ENSG00000298303		
294	ENSG00000310091		
295	ENSG00000295248		
296	ENSG00000228121	PHB1P3	PHB1 pseudogene 3
297	ENSG00000253652		
298	ENSG00000293394	LOC100128317	uncharacterized LOC100128317
299	ENSG00000306073	LOC105378449	uncharacterized LOC105378449
300	ENSG00000288967		
301	ENSG00000249261		
302	ENSG00000303938	ACTR3C	actin related protein 3C
303	ENSG00000186075	ZPBP2	zona pellucida binding protein 2
304	ENSG00000309500		
305	ENSG00000275719		
306	ENSG00000143226	FCGR2A	Fc gamma receptor IIa
307	ENSG00000294647		
308	ENSG00000224566	CIAO2AP2	CIAO2A pseudogene 2
309	ENSG00000245017	LINC02453	long intergenic non-protein coding RNA 2453
310	ENSG00000256748		
311	ENSG00000299836		
312	ENSG00000309618		
313	ENSG00000225405	RPS15AP17	ribosomal protein S15a pseudogene 17
314	ENSG00000233615	HNRNPA1P42	heterogeneous nuclear ribonucleoprotein A1 pseudogene 42
315	ENSG00000105550	FGF21	fibroblast growth factor 21
316	ENSG00000310291		
317	ENSG00000303829	LOC124907894	uncharacterized LOC124907894
318	ENSG00000120915	EPHX2	epoxide hydrolase 2
319	ENSG00000295443		
320	ENSG00000234284	ZNF879	zinc finger protein 879
321	ENSG00000165810	BTNL9	butyrophilin like 9
322	ENSG00000233850	MAL-AS1	MAL antisense RNA 1
323	ENSG00000300968		
324	ENSG00000202498	LOC124904778	small nucleolar RNA SNORD116
325	ENSG00000255794	RMST	rhabdomyosarcoma 2 associated transcript
326	ENSG00000301010		
327	ENSG00000241484	ARHGAP8	Rho GTPase activating protein 8
328	ENSG00000250532		
329	ENSG00000234889	KPNB1P1	KPNB1 pseudogene 1
330	ENSG00000235361	ABR-AS1	ABR antisense RNA 1
331	ENSG00000197241	SLC2A7	solute carrier family 2 member 7
332	ENSG00000286886		
333	ENSG00000310206		
334	ENSG00000289408	LOC107985451	uncharacterized LOC107985451
335	ENSG00000130656	HBZ	hemoglobin subunit zeta
336	ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase
337	ENSG00000271384		
338	ENSG00000298779		
339	ENSG00000227531	LOC105376219	uncharacterized LOC105376219
340	ENSG00000004948	CALCR	calcitonin receptor
341	ENSG00000252916	RNU6-762P	RNA, U6 small nuclear 762, pseudogene
342	ENSG00000284677	ZFP69B-DT	ZFP69B divergent transcript
343	ENSG00000277763		
344	ENSG00000223427	RBM7P1	RBM7 pseudogene 1
345	ENSG00000134765	DSC1	desmocollin 1
346	ENSG00000179031	NSA2P3	NSA2 pseudogene 3
347	ENSG00000294888		
348	ENSG00000230747		
349	ENSG00000307463	LOC105379442	uncharacterized LOC105379442
350	ENSG00000177359	OVOS2P	ovostatin 2, pseudogene
351	ENSG00000255446		
352	ENSG00000235768	BRD7P5	bromodomain containing 7 pseudogene 5
353	ENSG00000251010		
354	ENSG00000271484	ABI1P1	abl interactor 1 pseudogene 1
355	ENSG00000266531	MIR4706	microRNA 4706
356	ENSG00000255478		
357	ENSG00000296962		
358	ENSG00000304140	LOC107986852	uncharacterized LOC107986852
359	ENSG00000307345		
360	ENSG00000235314	LINC00957	long intergenic non-protein coding RNA 957
361	ENSG00000161940	BCL6B	BCL6B transcription repressor
362	ENSG00000100427	MLC1	modulator of VRAC current 1
363	ENSG00000298207		
364	ENSG00000297056		
365	ENSG00000249779		
366	ENSG00000304082		
367	ENSG00000295124		
368	ENSG00000301825		
369	ENSG00000176435	CLEC14A	C-type lectin domain containing 14A
370	ENSG00000287996	LOC124903236	uncharacterized LOC124903236
371	ENSG00000270031		
372	ENSG00000004809	SLC22A16	solute carrier family 22 member 16
373	ENSG00000279409		
374	ENSG00000124479	NDP	norrin cystine knot growth factor NDP
375	ENSG00000197757	HOXC6	homeobox C6
376	ENSG00000189127	ANKRD34B	ankyrin repeat domain 34B
377	ENSG00000233569	LOC101928797	uncharacterized LOC101928797
378	ENSG00000267166		
379	ENSG00000180818	HOXC10	homeobox C10
380	ENSG00000305219		
381	ENSG00000225406	ELF2P4	ELF2 pseudogene 4
382	ENSG00000279917		
383	ENSG00000303882		
384	ENSG00000171401	KRT13	keratin 13
385	ENSG00000303824		
386	ENSG00000302648		
387	ENSG00000306716	LOC105369366	uncharacterized LOC105369366
388	ENSG00000269621		
389	ENSG00000230498		
390	ENSG00000242697	RPL5P12	ribosomal protein L5 pseudogene 12
391	ENSG00000158428	CATIP	ciliogenesis associated TTC17 interacting protein
392	ENSG00000054356	PTPRN	protein tyrosine phosphatase receptor type N
393	ENSG00000286183		
394	ENSG00000251011	TMEM108-AS1	TMEM108 antisense RNA 1
395	ENSG00000234471		
396	ENSG00000254099		
397	ENSG00000202414	Y_RNA	Y RNA
398	ENSG00000306517		
399	ENSG00000274515		
400	ENSG00000175800	OR52B3P	olfactory receptor family 52 subfamily B member 3 pseudogene
401	ENSG00000287613		
402	ENSG00000234244	LOC105376440	uncharacterized LOC105376440
403	ENSG00000239821	RN7SL513P	RNA, 7SL, cytoplasmic 513, pseudogene
404	ENSG00000272506		
405	ENSG00000205537		
406	ENSG00000277610	RNVU1-4	RNA, variant U1 small nuclear 4
407	ENSG00000178458	H3P16	H3 histone pseudogene 16
408	ENSG00000263644		
409	ENSG00000163564	PYHIN1	pyrin and HIN domain family member 1
410	ENSG00000283703	VSIG10L2	V-set and immunoglobulin domain containing 10 like 2
411	ENSG00000299987		
412	ENSG00000227455		
413	ENSG00000260317	LINC02986	long intergenic non-protein coding RNA 2986
414	ENSG00000181074	OR52N4	olfactory receptor family 52 subfamily N member 4
415	ENSG00000300875		
416	ENSG00000299279		
417	ENSG00000196119	OR8A1	olfactory receptor family 8 subfamily A member 1
418	ENSG00000160183	TMPRSS3	transmembrane serine protease 3
419	ENSG00000237339	LINC01502	long intergenic non-protein coding RNA 1502
420	ENSG00000305307		
421	ENSG00000280285		
422	ENSG00000291325		
423	ENSG00000213620	RPL21P70	ribosomal protein L21 pseudogene 70
424	ENSG00000225777	DDX39AP1	DEAD-box helicase 39A pseudogene 1
425	ENSG00000218089	DNAJA1P4	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 4
426	ENSG00000224421	ATP5MFP1	ATP synthase membrane subunit f pseudogene 1
427	ENSG00000184489	PTP4A3	protein tyrosine phosphatase 4A3
428	ENSG00000294568		
429	ENSG00000307583		
430	ENSG00000226356	RPS6P20	ribosomal protein S6 pseudogene 20
431	ENSG00000220181	MTRES1P1	MTRES1 pseudogene 1
432	ENSG00000176728	TTTY14	testis expressed transcript, Y-linked 14
433	ENSG00000229106	BTBD6P1	BTB domain containing 6 pseudogene 1
434	ENSG00000239440	LINC02008	long intergenic non-protein coding RNA 2008
435	ENSG00000285940	LOC124904288	uncharacterized LOC124904288
436	ENSG00000232400	RAD17P1	RAD17 pseudogene 1
437	ENSG00000127530	OR7C1	olfactory receptor family 7 subfamily C member 1
438	ENSG00000186204	CYP4F12	cytochrome P450 family 4 subfamily F member 12
439	ENSG00000259910	LNCPTCTS	lncRNA papillary thyroid carcinoma tumor suppressor
440	ENSG00000297440		
441	ENSG00000160180	TFF3	trefoil factor 3
442	ENSG00000243621		
443	ENSG00000283156		
444	ENSG00000105409	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3
445	ENSG00000307954		
446	ENSG00000237481		
447	ENSG00000296192	LOC105370530	uncharacterized LOC105370530
448	ENSG00000305294		
449	ENSG00000260541		
450	ENSG00000251326	LINC02479	long intergenic non-protein coding RNA 2479
451	ENSG00000265008		
452	ENSG00000237756		
453	ENSG00000204397	CARD16	caspase recruitment domain family member 16
454	ENSG00000260332	DPPA3P11	DPPA3 pseudogene 11
455	ENSG00000029559	IBSP	integrin binding sialoprotein
456	ENSG00000260912		
457	ENSG00000304552		
458	ENSG00000301793		
459	ENSG00000254830		
460	ENSG00000219773	RPSAP45	ribosomal protein SA pseudogene 45
461	ENSG00000308269		
462	ENSG00000227163		
463	ENSG00000287908		
464	ENSG00000301100		
465	ENSG00000259527	LINC00052	long intergenic non-protein coding RNA 52
466	ENSG00000213362	FTH1P12	ferritin heavy chain 1 pseudogene 12
467	ENSG00000264615	RN7SL592P	RNA, 7SL, cytoplasmic 592, pseudogene
468	ENSG00000225542	ZNF385D-AS1	ZNF385D antisense RNA 1
469	ENSG00000296549		
470	ENSG00000102802	MEDAG	mesenteric estrogen dependent adipogenesis
471	ENSG00000293086		
472	ENSG00000180999	C1orf105	chromosome 1 open reading frame 105
473	ENSG00000303748		
474	ENSG00000309418		
475	ENSG00000217404	RPS4XP9	ribosomal protein S4X pseudogene 9
476	ENSG00000285532	LINC02788	long intergenic non-protein coding RNA 2788
477	ENSG00000229380	PRKAR1B-AS2	PRKAR1B antisense RNA 2
478	ENSG00000204174	NPY4R	neuropeptide Y receptor Y4
479	ENSG00000250657		
480	ENSG00000237468	ADGB-DT	ADGB divergent transcript
481	ENSG00000299797		
482	ENSG00000304976		
483	ENSG00000299666		
484	ENSG00000304762		
485	ENSG00000187867	PALM3	paralemmin 3
486	ENSG00000182557	SPNS3	SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative)
487	ENSG00000279114		
488	ENSG00000294145		
489	ENSG00000227098	LOC105373757	uncharacterized LOC105373757
490	ENSG00000286985	LOC105379242	uncharacterized LOC105379242
491	ENSG00000127084	FGD3	FYVE, RhoGEF and PH domain containing 3
492	ENSG00000163083	INHBB	inhibin subunit beta B
493	ENSG00000298808		
494	ENSG00000286289	LOC107984270	uncharacterized LOC107984270
495	ENSG00000290901		
496	ENSG00000160223	ICOSLG	inducible T cell costimulator ligand
497	ENSG00000304206		
498	ENSG00000225166	LOC102724849	uncharacterized LOC102724849
499	ENSG00000294228		
500	ENSG00000292375		
501	ENSG00000132518	GUCY2D	guanylate cyclase 2D, retinal
502	ENSG00000199890	Y_RNA	Y RNA
503	ENSG00000280850		
504	ENSG00000262165	C17orf114	chromosome 17 open reading frame 114
505	ENSG00000273584		
506	ENSG00000255652	LINC02963	long intergenic non-protein coding RNA 2963
507	ENSG00000118972	FGF23	fibroblast growth factor 23
508	ENSG00000307854	LOC105375782	uncharacterized LOC105375782
509	ENSG00000287928	LOC105369668	uncharacterized LOC105369668
510	ENSG00000238087	FMO8P	flavin containing dimethylaniline monoxygenase 8, pseudogene
511	ENSG00000231492		
512	ENSG00000258525	COCH-AS1	COCH antisense RNA 1
513	ENSG00000139610	CELA1	chymotrypsin like elastase 1
514	ENSG00000296669		
515	ENSG00000205424	PCBP3-AS1	PCBP3 antisense RNA 1
516	ENSG00000171695	LKAAEAR1	LKAAEAR motif containing 1
517	ENSG00000159337	PLA2G4D	phospholipase A2 group IVD
518	ENSG00000256581	NLRP9P1	NLR family pyrin domain containing 9 pseudogene 1
519	ENSG00000276627		
520	ENSG00000263594	LOC105372173	uncharacterized LOC105372173
521	ENSG00000306892		
522	ENSG00000308343		
523	ENSG00000253567	FBXO16-AS1	FBXO16 antisense RNA 1
524	ENSG00000290482		
525	ENSG00000287083		
526	ENSG00000287402	LOC105376473	uncharacterized LOC105376473
527	ENSG00000275162		
528	ENSG00000159166	LAD1	ladinin 1
529	ENSG00000303705	LOC124903242	uncharacterized LOC124903242
530	ENSG00000257986	LINC02306	long intergenic non-protein coding RNA 2306
531	ENSG00000252686	RNU6-1234P	RNA, U6 small nuclear 1234, pseudogene
532	ENSG00000273396	LINC01396	long intergenic non-protein coding RNA 1396
533	ENSG00000204993	CRTC1P1	CRTC1 pseudogene 1
534	ENSG00000212451	RNU11-4P	RNA, U11 small nuclear 4, pseudogene
535	ENSG00000230817	LINC01362	long intergenic non-protein coding RNA 1362
536	ENSG00000308634		
537	ENSG00000296365		
538	ENSG00000258793		
539	ENSG00000249920	HNRNPA1P55	heterogeneous nuclear ribonucleoprotein A1 pseudogene 55
540	ENSG00000285564	DKFZp451B082	uncharacterized LOC401282
541	ENSG00000258632	RPL26P5	ribosomal protein L26 pseudogene 5
542	ENSG00000305324	LOC105379119	uncharacterized LOC105379119
543	ENSG00000250167		
544	ENSG00000235158		
545	ENSG00000307986	LOC105370581	uncharacterized LOC105370581
546	ENSG00000164645	TEX47	testis expressed 47
547	ENSG00000266924		
548	ENSG00000293208		
549	ENSG00000303578		
550	ENSG00000227562		
551	ENSG00000260057	LINC01571	long intergenic non-protein coding RNA 1571
552	ENSG00000226733	LOC100505985	uncharacterized LOC100505985
553	ENSG00000105122	RASAL3	RAS protein activator like 3
554	ENSG00000296515		
555	ENSG00000300505		
556	ENSG00000213401	MAGEA12	MAGE family member A12
557	ENSG00000258743	LINC02301	long intergenic non-protein coding RNA 2301
558	ENSG00000294874		
559	ENSG00000248283	CCNL2P1	cyclin L2 pseudogene 1
560	ENSG00000228656	MYO5BP3	myosin VB pseudogene 3
561	ENSG00000180113	TDRD6	tudor domain containing 6
562	ENSG00000256943	GALNT9-AS1	GALNT9 antisense RNA 1
563	ENSG00000250150		
564	ENSG00000289608		
565	ENSG00000230558	CEACAMP2	CEA cell adhesion molecule pseudogene 2
566	ENSG00000309461		
567	ENSG00000267153	CTBP2P3	CTBP2 pseudogene 3
