"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=II","3.00%","3","93","4","20669","1.17e-4","2.26e-2","166.69","8.65e-2","2.26e-2","3.52e-7"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=I","3.00%","3","93","4","20669","1.17e-4","2.26e-2","166.69","8.65e-2","2.26e-2","3.52e-7"
"UP_KW_MOLECULAR_FUNCTION","Translocase","6.00%","6","58","107","12059","1.45e-4","6.39e-3","11.66","6.37e-3","6.39e-3","1.18e-5"
"UP_KW_DOMAIN","Signal","39.00%","39","76","4426","14656","1.60e-4","2.88e-3","1.70","2.87e-3","2.88e-3","9.23e-5"
"UP_KW_PTM","Glycoprotein","41.00%","41","74","4892","14452","1.84e-4","3.68e-3","1.64","3.49e-3","3.68e-3","1.10e-4"
"UP_KW_BIOLOGICAL_PROCESS","Electron transport","6.00%","6","56","114","11605","1.97e-4","4.53e-3","10.91","9.02e-3","4.43e-3","1.71e-5"
"GOTERM_BP_DIRECT","proton transmembrane transport","7.00%","7","92","182","19512","2.10e-4","3.56e-2","8.16","1.44e-1","3.55e-2","2.46e-5"
"GOTERM_BP_DIRECT","electron transport coupled proton transport","3.00%","3","92","5","19512","2.13e-4","3.56e-2","127.25","1.46e-1","3.55e-2","1.01e-6"
"GOTERM_BP_DIRECT","proton motive force-driven mitochondrial ATP synthesis","5.00%","5","92","65","19512","2.41e-4","3.56e-2","16.31","1.63e-1","3.55e-2","1.38e-5"
"KEGG_PATHWAY","Alzheimer disease","10.00%","10","56","391","9496","3.67e-4","5.36e-3","4.34","5.22e-2","5.03e-3","8.14e-5"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","10.00%","10","92","520","20808","4.52e-4","2.63e-2","4.35","7.27e-2","2.50e-2","1.00e-4"
"GOTERM_CC_DIRECT","extracellular space","20.00%","20","92","1895","20808","4.72e-4","2.63e-2","2.39","7.59e-2","2.50e-2","1.92e-4"
"GOTERM_BP_DIRECT","cellular respiration","4.00%","4","92","41","19512","9.20e-4","1.13e-1","20.69","4.94e-1","1.13e-1","4.10e-5"
"GOTERM_MF_DIRECT","NADH dehydrogenase (ubiquinone) activity","4.00%","4","89","43","19272","9.95e-4","1.30e-1","20.14","2.30e-1","1.30e-1","4.57e-5"
"UP_SEQ_FEATURE","TOPO_DOM:Extracellular","26.00%","26","93","3012","20669","1.19e-3","1.56e-1","1.92","6.03e-1","1.56e-1","6.04e-4"
"UP_SEQ_FEATURE","TRANSMEM:Helical","39.00%","39","93","5434","20669","1.21e-3","1.56e-1","1.60","6.08e-1","1.56e-1","7.40e-4"
"UP_KW_PTM","Disulfide bond","34.00%","34","74","4060","14452","1.31e-3","1.31e-2","1.64","2.45e-2","1.31e-2","7.81e-4"
"GOTERM_MF_DIRECT","insulin-like growth factor I binding","3.00%","3","89","13","19272","1.56e-3","1.36e-1","49.97","3.35e-1","1.36e-1","2.63e-5"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion inner membrane","8.00%","8","89","363","18195","1.89e-3","5.66e-2","4.51","5.51e-2","5.29e-2","4.02e-4"
"GOTERM_BP_DIRECT","response to hyperoxia","3.00%","3","92","15","19512","2.17e-3","2.29e-1","42.42","7.99e-1","2.28e-1","4.43e-5"
"KEGG_PATHWAY","Cytoskeleton in muscle cells","7.00%","7","56","233","9496","2.17e-3","2.88e-2","5.09","2.72e-1","2.70e-2","4.08e-4"
"GOTERM_BP_DIRECT","regulation of systemic arterial blood pressure","3.00%","3","92","17","19512","2.80e-3","2.58e-1","37.43","8.74e-1","2.57e-1","6.58e-5"
"GOTERM_CC_DIRECT","cell surface","10.00%","10","92","701","20808","3.56e-3","1.49e-1","3.23","4.49e-1","1.41e-1","1.06e-3"
"GOTERM_BP_DIRECT","aerobic respiration","4.00%","4","92","70","19512","4.29e-3","3.52e-1","12.12","9.58e-1","3.50e-1","3.35e-4"
"UP_KW_BIOLOGICAL_PROCESS","Angiogenesis","5.00%","5","56","145","11605","4.87e-3","7.46e-2","7.15","2.01e-1","7.30e-2","6.50e-4"
"GOTERM_BP_DIRECT","mitochondrial electron transport, cytochrome c to oxygen","3.00%","3","92","23","19512","5.11e-3","3.77e-1","27.66","9.77e-1","3.75e-1","1.68e-4"
"GOTERM_CC_DIRECT","respiratory chain complex IV","3.00%","3","92","25","20808","5.32e-3","1.78e-1","27.14","5.89e-1","1.69e-1","1.79e-4"
"GOTERM_BP_DIRECT","respiratory electron transport chain","3.00%","3","92","25","19512","6.02e-3","4.04e-1","25.45","9.88e-1","4.02e-1","2.16e-4"
"GOTERM_CC_DIRECT","basolateral plasma membrane","6.00%","6","92","270","20808","6.66e-3","1.85e-1","5.03","6.72e-1","1.76e-1","1.27e-3"
"GOTERM_BP_DIRECT","wound healing","4.00%","4","92","82","19512","6.66e-3","4.10e-1","10.35","9.93e-1","4.08e-1","6.11e-4"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 3","4.00%","4","93","86","20669","6.69e-3","4.91e-1","10.34","9.94e-1","4.91e-1","6.15e-4"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","15.00%","15","89","1403","18195","7.22e-3","1.08e-1","2.19","1.95e-1","1.01e-1","3.17e-3"
"GOTERM_CC_DIRECT","plasma membrane","38.00%","38","92","5927","20808","8.28e-3","1.98e-1","1.45","7.51e-1","1.88e-1","5.55e-3"
"INTERPRO","Cyt_c_oxase-like_su1_dom","2.00%","2","92","2","20827","8.72e-3","1.00e+0","226.38","9.80e-1","1.00e+0","1.93e-5"
"INTERPRO","Cyt_c_oxase-like_su1_sf","2.00%","2","92","2","20827","8.72e-3","1.00e+0","226.38","9.80e-1","1.00e+0","1.93e-5"
"INTERPRO","Cyt_C_Oxase_1","2.00%","2","92","2","20827","8.72e-3","1.00e+0","226.38","9.80e-1","1.00e+0","1.93e-5"
"UP_SEQ_FEATURE","DOMAIN:Cytochrome oxidase subunit I profile","2.00%","2","93","2","20669","8.88e-3","4.91e-1","222.25","9.99e-1","4.91e-1","2.00e-5"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=VI","2.00%","2","93","2","20669","8.88e-3","4.91e-1","222.25","9.99e-1","4.91e-1","2.00e-5"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=V","2.00%","2","93","2","20669","8.88e-3","4.91e-1","222.25","9.99e-1","4.91e-1","2.00e-5"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=IV","2.00%","2","93","2","20669","8.88e-3","4.91e-1","222.25","9.99e-1","4.91e-1","2.00e-5"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=VII","2.00%","2","93","2","20669","8.88e-3","4.91e-1","222.25","9.99e-1","4.91e-1","2.00e-5"
"UP_SEQ_FEATURE","PROPEP:N-terminal propeptide (7S domain)","2.00%","2","93","2","20669","8.88e-3","4.91e-1","222.25","9.99e-1","4.91e-1","2.00e-5"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Name=III","2.00%","2","93","2","20669","8.88e-3","4.91e-1","222.25","9.99e-1","4.91e-1","2.00e-5"
"UP_KW_LIGAND","Copper","4.00%","4","44","71","7011","9.19e-3","7.81e-2","8.98","1.45e-1","6.90e-2","9.66e-4"
"OMIM_DISEASE","Hemorrhage, intracerebral, susceptibility to","2.00%","2","30","2","6165","9.39e-3","5.35e-1","205.50","4.16e-1","5.35e-1","2.29e-5"
"GOTERM_CC_DIRECT","basement membrane","4.00%","4","92","102","20808","1.02e-2","2.12e-1","8.87","8.19e-1","2.02e-1","1.09e-3"
"UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","28.00%","28","93","3928","20669","1.08e-2","5.56e-1","1.58","1.00e+0","5.56e-1","6.56e-3"
"INTERPRO","ND/Mrp_TM","2.00%","2","92","3","20827","1.31e-2","1.00e+0","150.92","9.97e-1","1.00e+0","5.77e-5"
"UP_SEQ_FEATURE","DOMAIN:NADH:quinone oxidoreductase/Mrp antiporter transmembrane","2.00%","2","93","3","20669","1.33e-2","6.43e-1","148.16","1.00e+0","6.43e-1","5.99e-5"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","6.00%","6","92","322","20808","1.36e-2","2.52e-1","4.21","8.98e-1","2.40e-1","3.07e-3"
"GOTERM_BP_DIRECT","cell adhesion","9.00%","9","92","677","19512","1.37e-2","7.03e-1","2.82","1.00e+0","7.00e-1","4.63e-3"
"INTERPRO","FN3_sf","5.00%","5","92","211","20827","1.38e-2","1.00e+0","5.36","9.98e-1","1.00e+0","2.45e-3"
"KEGG_PATHWAY","Cardiac muscle contraction","4.00%","4","56","87","9496","1.38e-2","1.56e-1","7.80","8.69e-1","1.47e-1","1.68e-3"
"GOTERM_BP_DIRECT","cell-matrix adhesion","4.00%","4","92","108","19512","1.41e-2","7.03e-1","7.86","1.00e+0","7.00e-1","1.71e-3"
"GOTERM_BP_DIRECT","cell migration","6.00%","6","92","306","19512","1.43e-2","7.03e-1","4.16","1.00e+0","7.00e-1","3.27e-3"
"UP_KW_DOMAIN","Transmembrane helix","41.00%","41","76","5895","14656","1.45e-2","1.10e-1","1.34","2.31e-1","1.10e-1","1.05e-2"
"KEGG_PATHWAY","ECM-receptor interaction","4.00%","4","56","89","9496","1.47e-2","1.56e-1","7.62","8.85e-1","1.47e-1","1.83e-3"
"KEGG_PATHWAY","Metabolic pathways","17.00%","17","56","1583","9496","1.50e-2","1.56e-1","1.82","8.90e-1","1.47e-1","7.89e-3"
"UP_KW_LIGAND","Sodium","5.00%","5","44","162","7011","1.68e-2","9.54e-2","4.92","2.51e-1","8.42e-2","3.25e-3"
"GOTERM_CC_DIRECT","membrane","51.00%","51","92","9038","20808","1.77e-2","2.95e-1","1.28","9.49e-1","2.81e-1","1.35e-2"
"UP_SEQ_FEATURE","REGION:Metalloprotease","2.00%","2","93","4","20669","1.77e-2","8.05e-1","111.12","1.00e+0","8.05e-1","1.19e-4"
"UP_KW_DOMAIN","Transmembrane","41.00%","41","76","5971","14656","1.83e-2","1.10e-1","1.32","2.82e-1","1.10e-1","1.34e-2"
"GOTERM_BP_DIRECT","mitochondrial respiratory chain complex I assembly","3.00%","3","92","45","19512","1.87e-2","8.15e-1","14.14","1.00e+0","8.11e-1","1.25e-3"
"GOTERM_BP_DIRECT","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","5.00%","5","92","217","19512","1.88e-2","8.15e-1","4.89","1.00e+0","8.11e-1","3.65e-3"
"UP_KW_CELLULAR_COMPONENT","Secreted","19.00%","19","89","2233","18195","1.95e-2","1.95e-1","1.74","4.46e-1","1.82e-1","1.07e-2"
"UP_KW_PTM","Hydroxylation","5.00%","5","74","210","14452","2.16e-2","1.44e-1","4.65","3.40e-1","1.44e-1","4.42e-3"
"GOTERM_CC_DIRECT","respiratory chain complex I","3.00%","3","92","52","20808","2.18e-2","3.12e-1","13.05","9.75e-1","2.97e-1","1.58e-3"
"GOTERM_CC_DIRECT","extracellular region","20.00%","20","92","2693","20808","2.27e-2","3.12e-1","1.68","9.78e-1","2.97e-1","1.29e-2"
"GOTERM_BP_DIRECT","mitochondrial electron transport, NADH to ubiquinone","3.00%","3","92","50","19512","2.28e-2","9.36e-1","12.73","1.00e+0","9.31e-1","1.69e-3"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 1","4.00%","4","93","139","20669","2.42e-2","9.84e-1","6.40","1.00e+0","9.84e-1","3.60e-3"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 2","4.00%","4","93","139","20669","2.42e-2","9.84e-1","6.40","1.00e+0","9.84e-1","3.60e-3"
"INTERPRO","Ig_I-set","4.00%","4","92","143","20827","2.48e-2","1.00e+0","6.33","1.00e+0","1.00e+0","3.73e-3"
"GOTERM_BP_DIRECT","sodium ion transmembrane transport","4.00%","4","92","135","19512","2.53e-2","9.84e-1","6.28","1.00e+0","9.79e-1","3.83e-3"
"INTERPRO","IGFBP_1-6_chordata","2.00%","2","92","6","20827","2.59e-2","1.00e+0","75.46","1.00e+0","1.00e+0","2.86e-4"
"INTERPRO","Collagen_IV_NC","2.00%","2","92","6","20827","2.59e-2","1.00e+0","75.46","1.00e+0","1.00e+0","2.86e-4"
"INTERPRO","Collagen_IV_NC_sf","2.00%","2","92","6","20827","2.59e-2","1.00e+0","75.46","1.00e+0","1.00e+0","2.86e-4"
"GOTERM_CC_DIRECT","collagen type IV trimer","2.00%","2","92","6","20808","2.60e-2","3.12e-1","75.39","9.88e-1","2.97e-1","2.87e-4"
"UP_SEQ_FEATURE","DOMAIN:Collagen IV NC1","2.00%","2","93","6","20669","2.64e-2","9.84e-1","74.08","1.00e+0","9.84e-1","2.97e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 5","3.00%","3","93","57","20669","2.67e-2","9.84e-1","11.70","1.00e+0","9.84e-1","2.16e-3"
"GOTERM_CC_DIRECT","mitochondrion","15.00%","15","92","1832","20808","2.77e-2","3.12e-1","1.85","9.91e-1","2.97e-1","1.42e-2"
"INTERPRO","Ig_sub2","5.00%","5","92","262","20827","2.79e-2","1.00e+0","4.32","1.00e+0","1.00e+0","6.13e-3"
"GOTERM_CC_DIRECT","nuclear body","6.00%","6","92","389","20808","2.80e-2","3.12e-1","3.49","9.91e-1","2.97e-1","7.60e-3"
"GOTERM_BP_DIRECT","brain development","5.00%","5","92","250","19512","2.96e-2","1.00e+0","4.24","1.00e+0","9.96e-1","6.61e-3"
"KEGG_PATHWAY","Focal adhesion","5.00%","5","56","203","9496","2.96e-2","2.88e-1","4.18","9.88e-1","2.71e-1","6.71e-3"
"UP_KW_DISEASE","MELAS syndrome","2.00%","2","38","4","4888","2.99e-2","3.79e-1","64.32","6.85e-1","3.79e-1","3.50e-4"
"UP_KW_CELLULAR_COMPONENT","Membrane","51.00%","51","89","8428","18195","3.07e-2","2.26e-1","1.24","6.08e-1","2.11e-1","2.42e-2"
"GOTERM_BP_DIRECT","ATP synthesis coupled electron transport","2.00%","2","92","7","19512","3.22e-2","1.00e+0","60.60","1.00e+0","9.96e-1","4.55e-4"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 4","3.00%","3","93","64","20669","3.31e-2","1.00e+0","10.42","1.00e+0","1.00e+0","3.01e-3"
"SMART","C4","2.00%","2","62","6","10704","3.37e-2","1.00e+0","57.55","9.31e-1","1.00e+0","4.88e-4"
"UP_KW_BIOLOGICAL_PROCESS","Transport","17.00%","17","56","2133","11605","3.52e-2","4.04e-1","1.65","8.07e-1","3.96e-1","2.03e-2"
"GOTERM_MF_DIRECT","insulin-like growth factor II binding","2.00%","2","89","8","19272","3.60e-2","1.00e+0","54.13","1.00e+0","1.00e+0","5.80e-4"
"UP_KW_LIGAND","NAD","5.00%","5","44","205","7011","3.60e-2","1.53e-1","3.89","4.64e-1","1.35e-1","8.75e-3"
"GOTERM_BP_DIRECT","regulation of insulin-like growth factor receptor signaling pathway","2.00%","2","92","8","19512","3.67e-2","1.00e+0","53.02","1.00e+0","9.96e-1","6.04e-4"
"GOTERM_MF_DIRECT","integrin binding","4.00%","4","89","161","19272","3.75e-2","1.00e+0","5.38","1.00e+0","1.00e+0","6.61e-3"
"UP_KW_CELLULAR_COMPONENT","Cell membrane","29.00%","29","89","4200","18195","3.76e-2","2.26e-1","1.41","6.83e-1","2.11e-1","2.55e-2"
"GOTERM_CC_DIRECT","anchoring junction","6.00%","6","92","423","20808","3.81e-2","3.97e-1","3.21","9.98e-1","3.78e-1","1.12e-2"
"KEGG_PATHWAY","Hedgehog signaling pathway","3.00%","3","56","56","9496","4.16e-2","3.79e-1","9.08","9.98e-1","3.56e-1","4.32e-3"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III","4.00%","4","93","174","20669","4.27e-2","1.00e+0","5.11","1.00e+0","1.00e+0","7.92e-3"
"GOTERM_MF_DIRECT","NADH dehydrogenase activity","2.00%","2","89","10","19272","4.47e-2","1.00e+0","43.31","1.00e+0","1.00e+0","9.26e-4"
"INTERPRO","Insulin_GF-bd_Cys-rich_CS","2.00%","2","92","11","20827","4.70e-2","1.00e+0","41.16","1.00e+0","1.00e+0","1.03e-3"
"GOTERM_BP_DIRECT","angiogenesis","5.00%","5","92","292","19512","4.78e-2","1.00e+0","3.63","1.00e+0","9.96e-1","1.24e-2"
"UP_SEQ_FEATURE","UNSURE:D or N","2.00%","2","93","11","20669","4.79e-2","1.00e+0","40.41","1.00e+0","1.00e+0","1.07e-3"
"GOTERM_MF_DIRECT","G protein-coupled receptor binding","3.00%","3","89","77","19272","4.84e-2","1.00e+0","8.44","1.00e+0","1.00e+0","5.44e-3"
"GOTERM_MF_DIRECT","platelet-derived growth factor binding","2.00%","2","89","11","19272","4.91e-2","1.00e+0","39.37","1.00e+0","1.00e+0","1.13e-3"
"GOTERM_BP_DIRECT","negative regulation of neuroinflammatory response","2.00%","2","92","11","19512","5.01e-2","1.00e+0","38.56","1.00e+0","9.96e-1","1.18e-3"
"GOTERM_BP_DIRECT","Leydig cell differentiation","2.00%","2","92","11","19512","5.01e-2","1.00e+0","38.56","1.00e+0","9.96e-1","1.18e-3"
"INTERPRO","ECM_Regulatory_Proteins","2.00%","2","92","12","20827","5.12e-2","1.00e+0","37.73","1.00e+0","1.00e+0","1.24e-3"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 4","3.00%","3","93","83","20669","5.29e-2","1.00e+0","8.03","1.00e+0","1.00e+0","6.25e-3"
"SMART","FN3","4.00%","4","62","150","10704","5.39e-2","1.00e+0","4.60","9.87e-1","1.00e+0","1.10e-2"
"GOTERM_BP_DIRECT","collagen-activated tyrosine kinase receptor signaling pathway","2.00%","2","92","12","19512","5.46e-2","1.00e+0","35.35","1.00e+0","9.96e-1","1.41e-3"
"GOTERM_BP_DIRECT","response to copper ion","2.00%","2","92","12","19512","5.46e-2","1.00e+0","35.35","1.00e+0","9.96e-1","1.41e-3"
"GOTERM_BP_DIRECT","regulation of cell growth","3.00%","3","92","81","19512","5.50e-2","1.00e+0","7.86","1.00e+0","9.96e-1","6.64e-3"
"UP_KW_CELLULAR_COMPONENT","Cell junction","6.00%","6","89","425","18195","5.52e-2","2.76e-1","2.89","8.18e-1","2.57e-1","1.79e-2"
"INTERPRO","Pentraxin-related","2.00%","2","92","13","20827","5.54e-2","1.00e+0","34.83","1.00e+0","1.00e+0","1.46e-3"
"UP_SEQ_FEATURE","DOMAIN:Pentraxin (PTX)","2.00%","2","93","13","20669","5.64e-2","1.00e+0","34.19","1.00e+0","1.00e+0","1.51e-3"
"INTERPRO","Ig-like_fold","10.00%","10","92","1123","20827","5.65e-2","1.00e+0","2.02","1.00e+0","1.00e+0","2.63e-2"
"UP_SEQ_FEATURE","MOTIF:Cell attachment site","3.00%","3","93","88","20669","5.86e-2","1.00e+0","7.58","1.00e+0","1.00e+0","7.34e-3"
"GOTERM_BP_DIRECT","positive regulation of platelet activation","2.00%","2","92","13","19512","5.90e-2","1.00e+0","32.63","1.00e+0","9.96e-1","1.66e-3"
"GOTERM_BP_DIRECT","angiotensin maturation","2.00%","2","92","13","19512","5.90e-2","1.00e+0","32.63","1.00e+0","9.96e-1","1.66e-3"
"SMART","IGc2","5.00%","5","62","262","10704","6.19e-2","1.00e+0","3.29","9.93e-1","1.00e+0","1.76e-2"
"GOTERM_MF_DIRECT","insulin-like growth factor binding","2.00%","2","89","14","19272","6.21e-2","1.00e+0","30.93","1.00e+0","1.00e+0","1.85e-3"
"KEGG_PATHWAY","Non-alcoholic fatty liver disease","4.00%","4","56","157","9496","6.23e-2","5.35e-1","4.32","1.00e+0","5.02e-1","1.36e-2"
"INTERPRO","FN3_dom","4.00%","4","92","209","20827","6.37e-2","1.00e+0","4.33","1.00e+0","1.00e+0","1.39e-2"
"GOTERM_CC_DIRECT","extracellular matrix","6.00%","6","92","492","20808","6.47e-2","6.35e-1","2.76","1.00e+0","6.05e-1","2.19e-2"
"UP_SEQ_FEATURE","DOMAIN:Thyroglobulin type-1","2.00%","2","93","15","20669","6.47e-2","1.00e+0","29.63","1.00e+0","1.00e+0","2.02e-3"
"SMART","PTX","2.00%","2","62","12","10704","6.63e-2","1.00e+0","28.77","9.95e-1","1.00e+0","2.10e-3"
"GOTERM_BP_DIRECT","cerebral cortex development","3.00%","3","92","91","19512","6.75e-2","1.00e+0","6.99","1.00e+0","9.96e-1","9.14e-3"
"UP_KW_DISEASE","Disease variant","35.00%","35","38","3983","4888","6.85e-2","6.50e-1","1.13","9.32e-1","6.50e-1","5.98e-2"
"INTERPRO","Thyroglobulin_1_sf","2.00%","2","92","17","20827","7.18e-2","1.00e+0","26.63","1.00e+0","1.00e+0","2.51e-3"
"INTERPRO","Thyroglobulin_1","2.00%","2","92","17","20827","7.18e-2","1.00e+0","26.63","1.00e+0","1.00e+0","2.51e-3"
"UP_SEQ_FEATURE","TOPO_DOM:Mitochondrial matrix","3.00%","3","93","100","20669","7.33e-2","1.00e+0","6.67","1.00e+0","1.00e+0","1.04e-2"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 1","4.00%","4","93","219","20669","7.43e-2","1.00e+0","4.06","1.00e+0","1.00e+0","1.72e-2"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 2","4.00%","4","93","219","20669","7.43e-2","1.00e+0","4.06","1.00e+0","1.00e+0","1.72e-2"
"UP_KW_CELLULAR_COMPONENT","CF(0)","2.00%","2","89","16","18195","7.47e-2","3.20e-1","25.55","9.03e-1","2.99e-1","2.72e-3"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate","3.00%","3","93","102","20669","7.58e-2","1.00e+0","6.54","1.00e+0","1.00e+0","1.10e-2"
"GOTERM_MF_DIRECT","metal ion binding","26.00%","26","89","4143","19272","7.65e-2","1.00e+0","1.36","1.00e+0","1.00e+0","5.35e-2"
"GOTERM_MF_DIRECT","proton-transporting ATP synthase activity, rotational mechanism","2.00%","2","89","18","19272","7.91e-2","1.00e+0","24.06","1.00e+0","1.00e+0","3.07e-3"
"GOTERM_BP_DIRECT","type B pancreatic cell proliferation","2.00%","2","92","18","19512","8.07e-2","1.00e+0","23.57","1.00e+0","9.96e-1","3.20e-3"
"GOTERM_BP_DIRECT","electron transport chain","2.00%","2","92","18","19512","8.07e-2","1.00e+0","23.57","1.00e+0","9.96e-1","3.20e-3"
"INTERPRO","Ig_sub","6.00%","6","92","528","20827","8.16e-2","1.00e+0","2.57","1.00e+0","1.00e+0","2.95e-2"
"UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","6.00%","6","56","494","11605","8.38e-2","5.96e-1","2.52","9.82e-1","5.83e-1","3.10e-2"
"INTERPRO","IGFBP-like","2.00%","2","92","20","20827","8.39e-2","1.00e+0","22.64","1.00e+0","1.00e+0","3.48e-3"
"UP_KW_BIOLOGICAL_PROCESS","Ion transport","7.00%","7","56","647","11605","8.44e-2","5.96e-1","2.24","9.83e-1","5.83e-1","3.51e-2"
"UP_SEQ_FEATURE","DOMAIN:IGFBP N-terminal","2.00%","2","93","20","20669","8.54e-2","1.00e+0","22.22","1.00e+0","1.00e+0","3.61e-3"
"UP_KW_LIGAND","Lipid-binding","5.00%","5","44","276","7011","8.76e-2","2.98e-1","2.89","7.89e-1","2.63e-1","2.83e-2"
"INTERPRO","HISTONE_H2B_site","2.00%","2","92","21","20827","8.79e-2","1.00e+0","21.56","1.00e+0","1.00e+0","3.84e-3"
"GOTERM_MF_DIRECT","lipid binding","5.00%","5","89","369","19272","8.86e-2","1.00e+0","2.93","1.00e+0","1.00e+0","2.81e-2"
"GOTERM_MF_DIRECT","transmembrane transporter activity","4.00%","4","89","231","19272","8.91e-2","1.00e+0","3.75","1.00e+0","1.00e+0","2.22e-2"
"GOTERM_BP_DIRECT","striated muscle cell differentiation","2.00%","2","92","20","19512","8.93e-2","1.00e+0","21.21","1.00e+0","9.96e-1","3.95e-3"
"UP_SEQ_FEATURE","DOMAIN:Sushi 5","2.00%","2","93","21","20669","8.95e-2","1.00e+0","21.17","1.00e+0","1.00e+0","3.98e-3"
"UP_KW_MOLECULAR_FUNCTION","Growth factor binding","2.00%","2","58","20","12059","9.05e-2","1.00e+0","20.79","9.85e-1","1.00e+0","4.09e-3"
"UP_KW_BIOLOGICAL_PROCESS","ATP synthesis","2.00%","2","56","20","11605","9.07e-2","5.96e-1","20.72","9.87e-1","5.83e-1","4.11e-3"
